
2024/09/28 (22:27:58) | ===> btop++ v.1.4.0
2024/09/28 (22:27:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (14:40:39) | ===> btop++ v.1.4.0
2024/10/06 (14:40:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (14:40:41) | ===> btop++ v.1.4.0
2024/10/06 (14:40:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (16:01:32) | ===> btop++ v.1.4.0
2024/10/06 (16:01:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (16:49:43) | ===> btop++ v.1.4.0
2024/10/06 (16:49:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (18:40:58) | ===> btop++ v.1.4.0
2024/10/06 (18:40:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (18:45:40) | ===> btop++ v.1.4.0
2024/10/06 (18:45:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (19:18:33) | ===> btop++ v.1.4.0
2024/10/06 (19:18:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (21:07:56) | ===> btop++ v.1.4.0
2024/10/06 (21:07:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (21:38:26) | ===> btop++ v.1.4.0
2024/10/06 (21:38:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (23:48:57) | ===> btop++ v.1.4.0
2024/10/06 (23:48:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (23:52:07) | ===> btop++ v.1.4.0
2024/10/06 (23:52:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (23:52:31) | ===> btop++ v.1.4.0
2024/10/06 (23:52:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/06 (23:52:39) | ===> btop++ v.1.4.0
2024/10/06 (23:52:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (01:51:01) | ===> btop++ v.1.4.0
2024/10/11 (01:51:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (22:54:36) | ===> btop++ v.1.4.0
2024/10/15 (22:54:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (01:24:33) | ===> btop++ v.1.4.0
2024/10/16 (01:24:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/16 (13:13:13) | ===> btop++ v.1.4.0
2024/10/16 (13:13:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (13:28:19) | ===> btop++ v.1.4.0
2024/10/18 (13:28:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (12:33:16) | ===> btop++ v.1.4.0
2024/10/19 (12:33:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (22:45:57) | ===> btop++ v.1.4.0
2024/10/21 (22:45:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (16:22:31) | ===> btop++ v.1.4.0
2024/10/24 (16:22:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (22:19:35) | ===> btop++ v.1.4.0
2024/10/24 (22:19:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (22:40:39) | ===> btop++ v.1.4.0
2024/10/24 (22:40:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (15:11:02) | ===> btop++ v.1.4.0
2024/10/27 (15:11:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (15:13:19) | ===> btop++ v.1.4.0
2024/10/27 (15:13:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (14:38:28) | ===> btop++ v.1.4.0
2024/10/28 (14:38:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (18:17:14) | ===> btop++ v.1.4.0
2024/11/01 (18:17:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (11:25:22) | ===> btop++ v.1.4.0
2024/11/10 (11:25:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (17:09:45) | ===> btop++ v.1.4.0
2024/11/10 (17:09:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (09:54:55) | ===> btop++ v.1.4.0
2024/11/14 (09:54:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (16:25:49) | ===> btop++ v.1.4.0
2024/11/19 (16:25:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (18:37:12) | ===> btop++ v.1.4.0
2024/11/19 (18:37:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (23:26:14) | ===> btop++ v.1.4.0
2024/11/24 (23:26:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/26 (22:30:36) | ===> btop++ v.1.4.0
2024/11/26 (22:30:36) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/26 (22:31:21) | INFO: Logger set to INFO
2024/11/26 (22:32:12) | INFO: Quitting! Runtime: 00:01:36

2024/12/06 (14:32:53) | ===> btop++ v.1.4.0
2024/12/06 (14:32:53) | INFO: Logger set to INFO
2024/12/06 (14:32:53) | INFO: Running on /dev/tty2
2024/12/06 (14:32:53) | INFO: Real tty detected: setting 16 color mode and using tty friendly graph symbols
2024/12/06 (14:32:53) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/12/06 (14:32:53) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/06 (14:32:53) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/06 (14:33:50) | INFO: Quitting! Runtime: 00:00:57

2024/12/13 (14:51:17) | ===> btop++ v.1.4.0
2024/12/13 (14:51:17) | INFO: Logger set to INFO
2024/12/13 (14:51:17) | INFO: Running on /dev/pts/5
2024/12/13 (14:51:17) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/12/13 (14:51:17) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/13 (14:51:17) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/13 (14:51:22) | INFO: Quitting! Runtime: 00:00:05

2024/12/13 (19:14:27) | ===> btop++ v.1.4.0
2024/12/13 (19:14:27) | INFO: Logger set to INFO
2024/12/13 (19:14:27) | INFO: Running on /dev/pts/2
2024/12/13 (19:14:27) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/12/13 (19:14:27) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/12/13 (19:14:27) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/13 (19:14:36) | INFO: Quitting! Runtime: 00:00:09

2024/12/13 (19:14:38) | ===> btop++ v.1.4.0
2024/12/13 (19:14:38) | INFO: Logger set to INFO
2024/12/13 (19:14:38) | INFO: Running on /dev/pts/2
2024/12/13 (19:14:38) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
